Zip,City,State,Lat,Long
00601,ADJUNTAS,PR,18.16399563,-66.71901754
00602,AGUADA,PR,18.38528946,-67.18383896
00603,AGUADILLA,PR,18.45096362,-67.14491698
00606,MARICAO,PR,18.19191403,-66.98321853
00610,ANASCO,PR,18.2845498,-67.1468618
00612,ARECIBO,PR,18.45830071,-66.72156163
00616,BAJADERO,PR,18.4451864,-66.61916958
00617,BARCELONETA,PR,18.43766332,-66.54876757
00622,BOQUERON,PR,18.0329,-67.1289
00623,CABO ROJO,PR,18.08115923,-67.15756083
00624,PENUELAS,PR,18.04284746,-66.72388142
00627,CAMUY,PR,18.47353806,-66.84395819
00637,SABANA GRANDE,PR,18.07097955,-66.94991148
00638,CIALES,PR,18.31538869,-66.4704764
00641,UTUADO,PR,18.25475103,-66.69833516
00646,DORADO,PR,18.44640601,-66.27933181
00647,ENSENADA,PR,17.96345567,-66.93785092
00650,FLORIDA,PR,18.37979029,-66.58516316
00652,GARROCHALES,PR,18.46747026,-66.61530519
00653,GUANICA,PR,17.97340391,-66.90653706
00656,GUAYANILLA,PR,18.01955075,-66.78895216
00659,HATILLO,PR,18.47903438,-66.81207398
00660,HORMIGUEROS,PR,18.13808253,-67.12310354
00662,ISABELA,PR,18.48167045,-67.02573925
00664,JAYUYA,PR,18.22416887,-66.59097158
00667,LAJAS,PR,18.04785348,-67.05742437
00669,LARES,PR,18.29454077,-66.88201205
00670,LAS MARIAS,PR,18.25882811,-66.99085608
00674,MANATI,PR,18.43096606,-66.48067651
00676,MOCA,PR,18.39436282,-67.11356206
00677,RINCON,PR,18.33756661,-67.24385005
00678,QUEBRADILLAS,PR,18.46805736,-66.93327591
00680,MAYAGUEZ,PR,18.18961331,-67.13711104
00682,MAYAGUEZ,PR,18.20577368,-67.17393124
00683,SAN GERMAN,PR,18.08538977,-67.04268274
00685,SAN SEBASTIAN,PR,18.33022099,-66.99321915
00687,MOROVIS,PR,18.34275943,-66.41566792
00688,SABANA HOYOS,PR,18.3613,-66.6224
00690,SAN ANTONIO,PR,18.49396225,-67.09974146
00692,VEGA ALTA,PR,18.43200922,-66.32932792
00693,VEGA BAJA,PR,18.45088146,-66.40301479
00698,YAUCO,PR,18.02478592,-66.85553881
00703,AGUAS BUENAS,PR,18.25433121,-66.10298856
00704,AGUIRRE,PR,17.97083135,-66.24301392
00705,AIBONITO,PR,18.13882299,-66.2697151
00707,MAUNABO,PR,18.00076806,-65.89759509
00714,ARROYO,PR,17.97448991,-66.05697975
00715,MERCEDITA,PR,18.01282874,-66.55452618
00716,PONCE,PR,18.00135855,-66.60587841
00717,PONCE,PR,18.00349713,-66.61300395
00718,NAGUABO,PR,18.21004392,-65.72682836
00719,NARANJITO,PR,18.29919384,-66.24459205
00720,OROCOVIS,PR,18.1893675,-66.41322965
00723,PATILLAS,PR,18.05569705,-66.00930502
00725,CAGUAS,PR,18.23372498,-66.03286806
00727,CAGUAS,PR,18.23224466,-66.05279781
00728,PONCE,PR,18.01041666,-66.64973111
00729,CANOVANAS,PR,18.38201265,-65.89905371
00730,PONCE,PR,18.02635291,-66.61290645
00731,PONCE,PR,18.09679074,-66.63756377
00735,CEIBA,PR,18.2661789,-65.64876508
00736,CAYEY,PR,18.11896544,-66.14957224
00738,FAJARDO,PR,18.33348244,-65.65396899
00739,CIDRA,PR,18.17117204,-66.14810955
00740,PUERTO REAL,PR,18.32962725,-65.63888643
00741,PUNTA SANTIAGO,PR,18.16119008,-65.75420798
00745,RIO GRANDE,PR,18.37905797,-65.82858885
00751,SALINAS,PR,17.9791071,-66.28011727
00754,SAN LORENZO,PR,18.19145787,-65.9716467
00757,SANTA ISABEL,PR,17.97056453,-66.39034719
00765,VIEQUES,PR,18.14336675,-65.45076621
00766,VILLALBA,PR,18.12780131,-66.49604876
00767,YABUCOA,PR,18.06264764,-65.86324251
00769,COAMO,PR,18.07505309,-66.36567608
00771,LAS PIEDRAS,PR,18.19266522,-65.87877955
00772,LOIZA,PR,18.43220173,-65.86648544
00773,LUQUILLO,PR,18.37254839,-65.71945553
00777,JUNCOS,PR,18.22673517,-65.92213853
00778,GURABO,PR,18.24922159,-65.97838807
00780,COTO LAUREL,PR,18.05250972,-66.55373269
00782,COMERIO,PR,18.22239461,-66.22549628
00783,COROZAL,PR,18.33895123,-66.31996462
00784,GUAYAMA,PR,17.98133079,-66.11591118
00791,HUMACAO,PR,18.13049178,-65.82755916
00794,BARRANQUITAS,PR,18.18809575,-66.31264016
00795,JUANA DIAZ,PR,18.03694282,-66.50730516
00802,ST THOMAS,VI,18.33826683,-64.91019031
00820,CHRISTIANSTED,VI,17.74481198,-64.71095202
00830,ST JOHN,VI,18.3356,-64.7508
00840,FREDERIKSTED,VI,17.71557841,-64.84064088
00850,KINGSHILL,VI,17.72942775,-64.78718383
00901,SAN JUAN,PR,18.4645557,-66.10600856
